Barrio,Zona,Fuente
AGUAS CLARAS,ZONA 1,Diccionario Oficial
AMAPOLAS,ZONA 1,Diccionario Oficial
AMAPOLAS II SECTOR,ZONA 1,Diccionario Oficial
ARBOLEDA DE LOS ALPES,ZONA 1,Diccionario Oficial
BALCONES DE SAN PEDRO III,ZONA 1,Diccionario Oficial
BUENAVISTA II SECTOR,ZONA 1,Diccionario Oficial
BUENAVISTA SURORIENTAL,ZONA 1,Diccionario Oficial
CORINTO,ZONA 1,Diccionario Oficial
EL BALCON DE LA CASTANA,ZONA 1,Diccionario Oficial
EL FUTURO,ZONA 1,Diccionario Oficial
EL MANANTIAL,ZONA 1,Diccionario Oficial
EL RAMAJAL,ZONA 1,Diccionario Oficial
EL RAMAJAL SAN PEDRO,ZONA 1,Diccionario Oficial
EL TRIANGULO,ZONA 1,Diccionario Oficial
GRANJAS Y HUERTAS EL RAMAJAL,ZONA 1,Diccionario Oficial
LA CASTANA,ZONA 1,Diccionario Oficial
LA CECILIA,ZONA 1,Diccionario Oficial
LA GRAN COLOMBIA,ZONA 1,Diccionario Oficial
LA SAGRADA FAMILIA,ZONA 1,Diccionario Oficial
LAS ACACIAS,ZONA 1,Diccionario Oficial
LAS MERCEDES,ZONA 1,Diccionario Oficial
LOS ALPES,ZONA 1,Diccionario Oficial
LOS ALPES DEL ZIPA,ZONA 1,Diccionario Oficial
LOS LAURELES SUR ORIENTAL I SECTOR,ZONA 1,Diccionario Oficial
LOS LAURELES SUR ORIENTAL II SECTOR,ZONA 1,Diccionario Oficial
MACARENA DE LOS ALPES,ZONA 1,Diccionario Oficial
MANILA,ZONA 1,Diccionario Oficial
MANILA 2,ZONA 1,Diccionario Oficial
MONTECARLO,ZONA 1,Diccionario Oficial
NUEVA ESPANA,ZONA 1,Diccionario Oficial
NUEVA ESPANA PARTE ALTA,ZONA 1,Diccionario Oficial
RAMAJAL,ZONA 1,Diccionario Oficial
SAN BLAS,ZONA 1,Diccionario Oficial
SAN BLAS II SECTOR,ZONA 1,Diccionario Oficial
SAN CRISTOBAL ALTO,ZONA 1,Diccionario Oficial
SAN CRISTOBAL SUR VIEJO,ZONA 1,Diccionario Oficial
SAN JERONIMO DEL YUSTE,ZONA 1,Diccionario Oficial
TORRES DE GRATAMIRA,ZONA 1,Diccionario Oficial
TRIANGULO ALTO,ZONA 1,Diccionario Oficial
VITELMA,ZONA 1,Diccionario Oficial
ALTOS DE LA MARIA,ZONA 2,Diccionario Oficial
ALTOS DEL SOL,ZONA 2,Diccionario Oficial
