id_actividad;Nombre_Actividad;Descripcion_Actividad;Responsable_Principal
1;CHARLAS DE RESPONSABILIDAD PENAL EN ADOLESCENTES;Charlas de Responsabilidad penal en Adolescentes;Daniel Galvis 
2;Acciones preventivas contra el hurto ;Plan guitarra ;Heidy Gordo - Jhon Rojas 
3;Reunón para programacion evento mujeres fenix;Reunión para ultimar detalles de conversatorio mujeres fenix;Hector lopez
4;Acompañamiento en estorno escolar ;Acompañamiento entorno escolar para prevención ;Hugo Ortiz
5;Plan Registro ;Requisas, verificación de documentos, control de armas, y detección de consumo o porte de SPA.;Rosalba Daza 
6;Antiextorsión Gaula;Se realiza recorrido por los establecimientos de comercio con el fin de sensibilizar a los propietarios y prevenir posibles casos de extorsión por parte de personas inescrupulosas, en articulación con el grupo Gaula.;Luis Hernando Borda Montoya
7;Plan Parque;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Juan David Linares 
8;Plan Parque;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Juan David Linares
9;Mesa de trabajo ;Direccion de convivencia y Dialogo realiza invitación mesa de seguimiento mensual con comunidad ;Yonh Fredy Rojas Ladino
10;Acopañamiento entorno escolar;Realizar acompañamiento en entorno escolar seguro colegios;Alexander Alarcon
11;Reunión organización evento mujeres fenix;Reunión estrategias de trabajo para el conversatorio de mujeres fenix;Roman Gonzalez
12;Acompañamiento entorno escolar;Realizar acompañamiento en entorno escolar colegio Juan Bosco;Favian delgado
13;Levantamiento de información;Se realiza levantamiento de información en el barrio sur america;Hugo ortiz
14;Sencibilizacion manejo de basuras - estrategia caza infractores - analisis de entorno inspirador;Sensibilización manejo de basuras - estrategia caza infractores - análisis de entorno inspirador;Ferney Vásquez Moreno
15;Convocatoria Reunión con comunidad;Realizar perifoneo para Convocatoria Reunión con comunidad para el 7 de noviembre;heidy Gordo - Francisco Rodriguez
16;Plan Mochila;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Ismael Enrique Sanchez
17; Socialización Zona Segura;Policía realiza socialización y sensibilización de las zonas seguras establecidas como frentes de seguridad, con cámaras y botones de pánico, para fortalecer la seguridad en los entornos comunitarios.;Oscar David Diaz 
18;Reunión general de equipo de gestores;Reunión general de equipo de gestores para verificar trabajo de los meses siguientesRO,A ;Roman gonzalez
19;Acompañamiento entornos escolares ;Acompañamiento entornos escolares seguros colegios del sector calle 11 sur entre carrera 5;Johana Moreno
20;Perifoneo convocatoria reunión 7 nov zona segura  barrio la gloria ;Perifoneo convocatoria reunión 7 nov zona segura  barrio la gloria ;Heidy Gordo- Francisco Rodríguez 
21;Plan Mochila;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Juan David Linares
22;Plan Mochila;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;John Fredy Rojas Lanido
23; “Mil grullas por el Diálogo”, en el marco de la Semana Distrital del Diálogo.;Está actividad busca reconocer el trabajo realizado por cada una de las entidades miembros de la Red de Diálogo y dar una muestra de apoyo desde la Secretaria Distrital de Gobierno a cada uno/una  de los/las Servidores Publicos que diariamente trabajan por promover espacios de diálogo en la ciudad. ;Yonh Rojas. Juan David Linares- Jorge Diaz
24;Reunión conversatorio mujeres feinix;Evento conversatorio mujeres fenix teatro la victoria;Yuri esterling
25;Acompañaiento logistica evento mujeres fenix;Realizar el acompañamiento logistico del conversatorio mujeres fenix;Roman gonzalez
26;Reunión comunitaria información zona segura ;Reunión comunitaria información zona segura Barrio la gloria ;Heidy Gordo 
27;Plan Parque;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Andres Mancera
28;Actividad lúdica colegio gran colombia ;Realizar actividad lúdica basada en la ley 1801;Yuri carolina esterling 
29;Socializacion de ley 1806 del 2016 en niños;Realizar diferentes actividades dinamicas a niños de primaria en colegio la gran colombia;Yuri Carolina Esterling
30;Acompañamiento a escuela de padres en el IED Florentino;Realizar acompañamiento a los padres en el colegio;Johanna Moreno
31;Campaña contra el hurto a personas;Sensibilizar a las personas contra el hurto a personas;Laura Guerrero
32;Plan Mochila;Sensibilizar a los estudiantes del colegio: Juana Escobar sede A con el fin de que se eviten riñas en el entorno escolar.;Enrique Sánchez
33;Campaña escuela de padres en colegio florentino ied;Campaña acompañamiento escuela de padres en colegio florentino ied;Roman gonzalez
34;Plan Mochila ;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Ismael Enrique Sanchez
35;Entorno Escolar;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Rosalba Daza
36;Extorsión Gaula;"
Se realiza recorrido por los establecimientos de comercio con el fin de sensibilizar a los propietarios y prevenir posibles casos de extorsión por parte de personas inescrupulosas, en articulación con el grupo Gaula
";Luis Borda
37;Plan Mochila ;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Rosalba Daza
38; Plan Mochila ;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Yonh Fredy Rojas Ladino
39;Plan Parque ;Se realiza plan parque con actividades de control y registro para prevenir el consumo de sustancias psicoactivas (SPA) y fortalecer la convivencia ciudadana;Juan David Linares
40;Plan Registro entorno escolar;Requisas, verificación de documentos, control de armas, y detección de consumo o porte de SPA.;Rosalba Daza
41;Campaña Extorsión Gaula;Se realiza recorrido por los establecimientos de comercio con el fin de sensibilizar a los propietarios y prevenir posibles casos de extorsión por parte de personas inescrupulosas, en articulación con el grupo Gaula.;Luis Borda
42;Actividad lúdica en el colegio aguas claras;Realizar actividad lúdica en el colegio aguas claras entorno a la ley 1801;Laura guerrero
43;Campaña de prevencion contra el consumo de SPA;Campaña de prevención contra el consumo de spa en el barrio las brisas;Luis carrasco
44;Campaña contra el consumo de spa en el barrio bellavista;Campaña de prevención en los alrededores del barrio bellavista;Hugo ortiz
45;Campaña contra el consumo de spa en el sector  horacio orjuela;Campañas de prevención de spa a los alrededores del barrio horacio Orjuela;Robinson rubiano
46;Realizar acompañamiento entornos escolares de la calle 11 sur  entre carrera 5;Acompañamiento entornos escolares seguros en los colegios del sector de la calle 11 sur ;Vivian valbuena
47;atención a plan de trabajo entornos escolares virtual; Capacitacion virtual atencion a plan de trabajo entornos escolares compromisos mesa de trabajo concejal samir bedoya;Ferney vasquez
48;Plan Mochila ;Se desarrolla el plan Mochila con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Luis Borda
49;Plan Requisa y control;Requisas, verificación de documentos, control de armas, y detección de consumo o porte de SPA.;Yonh Fredy Rojas 
50;Prevención riñas- Entorno Escolar ;Se desarrolla Entorno escolar con acciones de registro y control en entornos escolares, orientadas a proteger y garantizar la seguridad de niños, niñas y adolescentes.;Andres Mancera
51;Encuentro Comunitario;Un Encuentro Comunitario es un espacio de participación y diálogo donde la comunidad se reúne para identificar problemáticas, proponer soluciones y fortalecer la convivencia en su territorio junto con las autoridades locales.;Enrique Sanchez
52;Plan Guitarra;Registro y control transporte publico ;Juan David Linares
53;En centro comunitario para creación de escultura con reciclaje como símbolo de convivencia y seguridad ;Realización de escultura representativa a la convivencia para exhibición en parque ;Francisco Rodríguez Peñaloza 
54;Encuentro comunitario ;Encuentro Comunitario espacio para escuchar a la comunidad ;Juan David Linares
55;Reunión Construir Frente de Seguridad;Reunión Construir Frente de Seguridad;Juan David Liares
56;Plan Guitarra;Registro y control transporte publico ;Yonh Fredy rojas
57;Acompañamiento a Colegio Nueva Delhi;Realizar acompañamiento a las diferentes actividades de halloween;Javier Hernandez
58;Perifoneo sencibilizacion noche de disfraces ;Perifoneo para sencibilizar a la comunidad de riesgos, precauciones noche de disfraces;Jose olivera francisco Rodríguez 
59;Noche de disfraces segura ;Promover la seguridad, la convivencia y el autocuidado de niños, jóvenes y familias durante la celebración del 31 de octubre, fortaleciendo la confianza entre comunidad e institucionalidad.;HEIDY GORDO 
60;Plan parques;Realizar sensibilización a la comunidad en general para el buen uso de los espacios públicos  en la localidad de San Cristóbal con el fin de que no haya consumo de SPA, arrojo de basuras y escombros.;Enrique Sánchez
61;Acompañamiento en Colegio San Juan Bosco;Realizar un recorrido en el entorno escolar san juan de Bosco, recibiendo problemáticas de seguridad.;Luis Carrasco
62;Acompañamiento a Caminata resignificando a la vida ;Realizar acompañamiento a el colegio sobre una caminata resignificando la vida ;Jhoana Moreno
63;Plan mochila;Registro y control para entornos escolares mas seguros;Yonh Fredy Rojas Ladino
64;Reunion Alertas Tempranas;Mesa de trabajo cero discriminacion ;Yonh Fredy Rojas Ladino 
65;Sensibilización ley 1801 de 2016 en PH y sensibilización a comunidad en atención a el día de halloween ;Abordar a la comunidad para darles a conocer los comportamientos contrarios a convivencia y con ello también sensibilizar sobre el desarrollo de la jornada en atención al día de halloween ;Francisco Rodríguez Peñaloza 
66;Cumplimiento a derecho de petición por denuncia de comunidad, sobre problemáticas de hurtos, cambuches, habitantes de calle;Verificación de la zona en cumplimiento de un derecho de petición ;Francisco Rodríguez Peñaloza 
67;Acompañamiento a entrega de parque la belleza;Realizar acompañamiento y actividades que nos permitan la sana convivencia;Laura Guerrero
68;Acompañamiento Colegio San Juan De Bosco;Realizar un acompañamiento a la entrada de los estudiantes al colegio;Favian Delgado
69;Mesa de Entornos Escolares;Socializar con los rectores de los colegios las oferta académica de alcaldia local , en cuanto a la seguridad y convivencia de acuerdo la ley 1801 del 2016;Laura Guerrero
70;Mesa de trabajo tema mujer;Coordinar actividad para un conversatorio tema de mujer ;Vivian Valvuena 
71;Acompañamiento a colegio San Juan Bosco;Realizar un acompañamiento a los estudiantes a las afuera de el colegio ;Jhoana Moreno
72;Reunión de equipo de seguridad;Programación de actividades de la oficina ;Carlos Meléndez 
73;PLAN MOCHILA;Sencibilizacion orientada a los niñas, niños y jovenes y adolecente orientado a la festividad hallowen;LUIS BORDA
74;Recorrido presidente JAC barrio santa Ana;Descripción se realizará recorrido caracterización con el fin de identificar problemáticas manifestadas por la comunidad;Yonh Fredy Rojas Ladino
75;Cumplimiento de derecho de petición, recepción de problemáticas y Sensibilización a comunidad por actividad de Halloween ;Se realiza recorrido por la zona ubicando los puntos criticos en atención a derecho de petición y Sensibilización a transeúntes para darles a conocer las recomendaciones por el día de los niños, halloween.;Francisco Rodríguez Peñaloza 
76;Sensibilización ley 1801 de 2016 en propiedad horizontal y recepción de problemáticas del sector ;Sensibilizar a la comunidad residente del conjunto residencial parque de san Cristóbal II y recibir las problemáticas de convivencia ;Francisco Rodríguez Peñaloza 
77;Acompañamiento Pacto Movilidad Incluyente ;Acompañamiento a una movilicion de pacto;Kaira Conga
78;Encuentro Territorial por la seguridad y el espacio publico;Encuentro Territorial por la seguridad y el espacio publico/ realizar seguimiento a temas de convivencia;José elkin olivera
79;Actividad dia de los niños los alpes ;Realizar una actividad para los niños , en la cual se genere una sana convivencia en conjunto con prevención policia nacional.;Vivian Valvuena 
80;Actividad de prevencion colegio i.e.d altamira-cumplimiento mesa trabajo san jose s.o;Realizar actividades de sensibilizacion con el fin de mitigar riesgo de consumo de sustancias psicoactivida, prevención riñas, venta de estupefacientes - basuras y demas actividades contrarias al codigo de policia ley 1801;fabian herrera justicia social
81;mesa de trabajo - barrio ramajal -concejal . kra 9 a este N°31-35 sur;Escuchar y analizar problematica  , asi mismo brindar soluciones y dejar compromisos ;fabian -justicia social
82;Mesa de trabajo - Concejal Marco Acosta;Se asistirá a la mesa de trabajo en el barrio ramajal convocada por el concejo Marco Acosta;Andres Mancera
83;Actividad de prevencion - colegio i.e.d. altamira- cumplimiento mesa de trabajo san jose so;Realizar actividades de sensibilizacion con el fin de mitigar riesgo de consumo de sustancias psicoactivida, prevención riñas, venta de estupefacientes - basuras y demas actividades contrarias al codigo de policia ley 1801;fabian
84;MESA DE TRABAJO- BARRIO RAMAJAL- CONVOCA CONCEJAL;Escuchar y analizar problematica  , asi mismo brindar soluciones y dejar compromisos ;FABIAN
85;Sensibilización contra el consumo de SPA - Parques;"La actividad de ""Sensibilización contra el consumo de SPA - Parques"" es una iniciativa que busca concientizar a la ciudadanía sobre los riesgos y consecuencias del consumo de Sustancias Psicoactivas (SPA), realizando acciones específicas en los parques y otros espacios públicos.
El objetivo principal es prevenir el uso de drogas, especialmente en jóvenes, y fomentar ambientes saludables, seguros y libres de consumo en estas áreas comunes.";Juan David Linares garzon 
86;Plan Mochila y sensibilización de riñas.;Plan Mochila en instituciones educativas con el objetivo de prevenir el porte de elementos prohibidos, acompañado de jornadas de sensibilización orientadas a prevenir riñas, promover la sana convivencia y fomentar la resolución pacífica de conflictos entre los estudiantes.;Yohn Fredy Rojas 
87;Sensibilizacion consumo de spa- riñas- hurto entorno escolar ied jose feliz restrepo;Realizar actividad de prevencion consumo de spa- riñas y hurto en entornos escolares ( encuentro comunitario 20 de julio) colegio ied jose felix restrepo;fabian justicia social- jonh seguridad
88;Sensibilizacion en prevencion de riñas;Sensibilización de prevención de riñas y sana convivencia  en colegio gran colombia enfocado en curso proporcionado por la orientación  del Colegio;Juan Sebastian Arias
89;Reunion en DILE y rectores de colegios San Cristóbal ;Encuentro con rectores , dile y alcaldia local para socializar encuesta de percepción y oferta académica de alcaldia, tema código nacional de seguridad y convivencia ;Laura Guerrero
90;Reunion con Dile , para socializar trabajo de parte de alcaldia local;Reunion con las diferentes áreas de el DILE para socialiarles las actividades realizadas por medio de Alcaldia en cuanto a entornos escolares;Laura Guerrero
91;Sensibilizacion consumo de spa- riñas- hurto entorno escolar ied jose felix restrepo-cumplimiento mesa de trabajo;Realizar actividades de sensibilizacion con el fin de mitigar riesgo de consumo de sustancias psicoactivida, prevención riñas, venta de estupefacientes - basuras y demas actividades contrarias al codigo de policia ley 1801-cumplimiento mesa de trabajo;fabian
92;Plan Guitarra;Se realizará prevención en transporte público para prevenir ante hurtos y problemas de convivencia en el transporte público ;Andres Mancera
93;Plan Parques ;Sensibilización a la comunidad en el buen uso del parque recreativo ;Enrique Sánchez 
