barrio_id;Barrio_Extraido;UPZ_Enriquecida
1;La Sagrada Familia;32 - San Blas
2;Amapolas;32 - San Blas
3;San Blas;32 - San Blas
4;Bellavista Sur;32 - San Blas
5;Bellavista Parte Baja;32 - San Blas
6;La Gran Colombia;32 - San Blas
7;San Cristóbal Viejo;32 - San Blas
8;Manila;32 - San Blas
9;San Cristóbal Alto;32 - San Blas
10;Los Alpes;32 - San Blas
11;San Pedro;32 - San Blas
12;Macarena Los Alpes;32 - San Blas
13;Santa Inés;32 - San Blas
14;San Blas II Sector;32 - San Blas
15;El Ramajal;32 - San Blas
16;Buenavista Suroriental;32 - San Blas
17;Horacio Orjuela;32 - San Blas
