ID_Fecha,Fecha,Año,Mes,Nombre_Mes,Día,Día_Semana
20251012,2025-10-12,2025,10,Octubre,12,Domingo
20250211,2025-02-11,2025,2,Febrero,11,Martes
20250411,2025-04-11,2025,4,Abril,11,Viernes
20250511,2025-05-11,2025,5,Mayo,11,Domingo
20250611,2025-06-11,2025,6,Junio,11,Miércoles
20250711,2025-07-11,2025,7,Julio,11,Viernes
20251011,2025-10-11,2025,10,Octubre,11,Sábado
20251111,2025-11-11,2025,11,Noviembre,11,Martes
20251211,2025-12-11,2025,12,Diciembre,11,Jueves
20251010,2025-10-10,2025,10,Octubre,10,Viernes
20250910,2025-09-10,2025,9,Septiembre,10,Miércoles
20250810,2025-08-10,2025,8,Agosto,10,Domingo
20250710,2025-07-10,2025,7,Julio,10,Jueves
20250610,2025-06-10,2025,6,Junio,10,Martes
20250410,2025-04-10,2025,4,Abril,10,Jueves
20250310,2025-03-10,2025,3,Marzo,10,Lunes
20250210,2025-02-10,2025,2,Febrero,10,Lunes
20250110,2025-01-10,2025,1,Enero,10,Viernes
20251209,2025-12-09,2025,12,Diciembre,9,Martes
20251109,2025-11-09,2025,11,Noviembre,9,Domingo
20251009,2025-10-09,2025,10,Octubre,9,Jueves
20250909,2025-09-09,2025,9,Septiembre,9,Martes
20250809,2025-08-09,2025,8,Agosto,9,Sábado
20250409,2025-04-09,2025,4,Abril,9,Miércoles
20250309,2025-03-09,2025,3,Marzo,9,Domingo
20250209,2025-02-09,2025,2,Febrero,9,Domingo
20251208,2025-12-08,2025,12,Diciembre,8,Lunes
20251108,2025-11-08,2025,11,Noviembre,8,Sábado
20250808,2025-08-08,2025,8,Agosto,8,Viernes
20250708,2025-07-08,2025,7,Julio,8,Martes
20250608,2025-06-08,2025,6,Junio,8,Domingo
20250508,2025-05-08,2025,5,Mayo,8,Jueves
20250408,2025-04-08,2025,4,Abril,8,Martes
20250208,2025-02-08,2025,2,Febrero,8,Sábado
20250108,2025-01-08,2025,1,Enero,8,Miércoles
20251207,2025-12-07,2025,12,Diciembre,7,Domingo
20251107,2025-11-07,2025,11,Noviembre,7,Viernes
20251007,2025-10-07,2025,10,Octubre,7,Martes
20250907,2025-09-07,2025,9,Septiembre,7,Domingo
20250807,2025-08-07,2025,8,Agosto,7,Jueves
20250707,2025-07-07,2025,7,Julio,7,Lunes
20250607,2025-06-07,2025,6,Junio,7,Sábado
20250507,2025-05-07,2025,5,Mayo,7,Miércoles
20250407,2025-04-07,2025,4,Abril,7,Lunes
20250307,2025-03-07,2025,3,Marzo,7,Viernes
20250207,2025-02-07,2025,2,Febrero,7,Viernes
20250107,2025-01-07,2025,1,Enero,7,Martes
20251206,2025-12-06,2025,12,Diciembre,6,Sábado
20251106,2025-11-06,2025,11,Noviembre,6,Jueves
20251006,2025-10-06,2025,10,Octubre,6,Lunes
20250906,2025-09-06,2025,9,Septiembre,6,Sábado
20250706,2025-07-06,2025,7,Julio,6,Domingo
20250606,2025-06-06,2025,6,Junio,6,Viernes
20250101,2025-01-01,2025,1,Enero,1,Miércoles
20250908,2025-09-08,2025,9,Septiembre,8,Lunes
20251008,2025-10-08,2025,10,Octubre,8,Miércoles
20250109,2025-01-09,2025,1,Enero,9,Jueves
20250509,2025-05-09,2025,5,Mayo,9,Viernes
20250609,2025-06-09,2025,6,Junio,9,Lunes
20251110,2025-11-10,2025,11,Noviembre,10,Lunes
