id_ubicacion,Direccion_Actividad
1,colegio Nueva Delhi 
2,Estacion 1 de Mayo 
3,Avenida 1 de mayo # 1-40 sur 
4,Calle 11 sur # 3A 18
5, KR 8B Bis Este CL 39A Sur  
6,KR 11 Este 55 12
7,CL 31C Sur KR 3 Este
8,Parque Montebello CL 24 Sur TV 1
9,Carrera 7A # 3 -24 sur
10,Avenida 1 de mayo # 1-40
11,Calle 11 sur #3 A 18
12,diagonal 30 b  bis sur #5-48
13, calle 40 # 5-15 este sur
14,carrera 11 este # 43-05 sur 
15,IED Nueva Delhi CL 48 Sur 4 85 Este
16,KR 10F Este 19 76 Sur
17,Avenida 1 de mayo #1-40 sur
18,Calle 11 sur #3 a 18
19,Crr 11 este 43-05 sur 
20,IED Francisco Javier Matiz Sede A
21,IED República del Ecuador 
22,Alcaldia Mayor de Bogota
23,Calle 37 Bis B Sur # 2 - 81 Este
24,Crr 11 este #43-05 sur 
25,Calle 48sur 13G-58 este
26,Carrera 19 a este # 9a 10 sur 
27,Cra 19A este #9a sur 10
28,Carrera 5a #31-45 sur
29,Calle 20A sur #12-20 este
30,Transversal 17 Este No:57 -23 Sur
31,Calle 30 a sur # 5a 35
32,KR 15 A ESTE 57 A 16 SUR
33,CL 37A Bus Sur 2A 04
34,CL 43A Sur 6A Brr Nueva Gloria 
35,Carrera 3b Este 38 Sur – 25.
36, KR 4 0 Sur 45
37,Parque Managua CL 35B KR 8 Sur
38,Carrera 3b Este  38 Sur - 25.
39,Calle 14 sur # 25 - 11 este
40,Carrera 6 sur # 3 -46
41,Carrera 6 c  sur # 41a 31
42,Diagonal 29 a bis sur # 7 a16
43,Virtual
44, IED Nueva Roma CL 48 Sur 4  85 Sur
45, KR 8C Hospital Cancerológico y Tienda D1
46,KR 9 ESTE 36 G 80 SUR.
47," Salón Comunal ""La Roca"" Cl. 59 Sur, 74g-1,"
48,Calle 30 d sur KR 5A 
49,Carrera 12 A este # 51 A 23 
50,20 de julio
51,Carrea 3 este 30 c 39 sur
52, 3 CL 5B SUR 
53,"Diagonal 60 B sur #14I -33 Este,, Bogotá"
54,Centro comercial bazar 20 de julio
55,Plazoleta   20 de julio 
56,Calle 65 Sur No: 10A 40 Este
57,Calle 11 sur entre carrera 5A
58,"25 Sur, Cra. 5 Este #29A, "
59,Cra. 3 Este 25 Sur 34
60,JAL Alcaldia Local San Cristobal
61,Calle 17 A Sur # 3 D 33 este
62,Calle 25 b sur # 5-87
63,"Cl. 65 Sur, Bogotá"
64,Calle 11 Sur entre carrera 5A
65,Carrera 5a No. 27 Sur -19 
66,Cl. 24 sur #0-35
67,Estación de policía 29/10/2025
68,Cra 12A Este 42 63
69,Barrio santa ana
70,Carrera 10 #  11- 25
71,Carrera 12 este # 11-25 sur
72,"Carrera 5A Cl. 31 Sur, Bogotá"
73,cra 5a # 11-38 sur
74,"Cl 36b Sur #10, Bogotá"
75,"carrera 12 a este calle 42- 4.5454883931501895, -74.08466165099004"
76,"4.561839082100374, -74.08393057870514"
77,Cra. 9a Este #31-35 Sur
78,"4.545433901512899, -74.08468365683983"
79,"4.557064279624765, -74.08337317259348"
80,Calle 31 c sur # 3 este
81,KR 6 18 02 Sur IED José Félix Restrepo 
82,"4.574353888653117, -74.0902049038413"
83,"Cra. 19a Este #9a Sur10, Bogotá"
84,Carrera 5A #27-19 Sur
85,Carrera 5a No. 27 Sur -19
86,"4.574599877161588, -74.09019417116434"
87,Cr. 3 Este #22-61 Sur
88,Calle 36 c sur # 2
89,Transversal 15 Este con Diagonal 59 C Sur 
90,"4.576983363966762, -74.08531273365485"
91,"4.558428198515709, -74.0830325136351"
92," Cl. 4 Sur #27-57 sur, Bogotá"
93,Calle 28 a bis # 8 a este
94,Calle 36 F Bis Sur 
95,Plazoleta el Cordoba
96,"4.539057206177239, -74.0956879056568"
97,"4.54148138583342, -74.09590361249442"
98,Calle 35 b sur # 7 bis
99,Carrera 5 A No. 27-19 Sur
100,Sosiego  calle 18 sur con carrera 9
101,Santa Ana CL 18 Sur KR 9
102,Carrera 1A Este No. 22 A–09
103,"4.546664067387747, -74.08470911733458"
104,"4.5768638736761025, -74.092222855866"
105,"4.563694886378146, -74.10185473199809"
106,COLEGIO JOSE JOAQUIN CASTRO 
107,COLEGIO LA BELLEZA
108,Cl. 31c Sur #3A-67
109,calle 27b sur - carrera 8
110,Calle 30 F sur con Carrera 8
111,"Cra. 15 Este #41b Sur, Bogotá"
112,Carrera 4 este # 11 sur
113,"Tv. 14 Este, Bogotá"
114,"4.569876026149161, -74.08665927116469"
115,"4.568836, -74.099995"
116,Calle 11 sur # 22-55 este
117,67P7HW9J+53
118,Cra 4 Este 41a Sur42
119,Portal 20 de Julio 
120,Cra. 9a Este #36b-2 Sur
121,Carrera 11 este#43-05
122,Barrio 20 de Julio 
123,Portal 20 de julio 
124,Calle 28 sur 4-22 
125,Cl. 27a Sur #2B-59
126,Portal 20 de julio
127,"Cra 4 Este 41a Sur42,"
128,Transversal 4 a este # 25 bis sur 
129,"4.5703757056855085, -74.09708105914675"
130,"4.570173152697507, -74.09711204921132"
131,Calle 24 sur#0-35
132,Carrera 25 este #24_09
133,Cra 3 este N 46 a - 27 sur
134,carrera 6#278-67 sur
135,CARRERA 6 # 27-76 SUR
136,Diagonal 50 sur # 14c-17
137,Ac. 39 Sur #12a Este-1 a 12a Este-99
138,Barrio san José Sur Oriental cll 41 Sur N 12a-10 este
139,"4.533685551980152, -74.08515591198594"
140,"4.547538991757794, -74.08448746413977"
141,carrera 4 Este No: 39 A 12 Sur
142,Parque Barrio La gran Colombia 
143,67P7GWW6+9R
144,Call 28 SUR BOGOTÁ. 
145,Carrera 11 este #43-05
146,Plazoleta del cordoba
147,calle 20 A Sur No: 1-60
148,Carrera 5A #27-19 
149,Carrera 6 con calle 25 sur
150,Carrera 6 este#47A-37 sur
151,Transversal 1BIS con calle 47 SUR
152,Calle 7 a sur # 3 -01
153,Comercio barrio santa Rita 1 y 2
154,Través 1 bis cll 47 barrio la peninsula
155,transversal 15 Bis Este No: 57-06 Sur
156,Carrera 7A #34A-Sur
157,Transversal 15 este con calle 57sur
158,Diagonal 32 C sur # 6 A este 
159,Calle 66 sur # 11 este
160,calle 66 Sur No: 62-15 Este
161,transversal 6 c este #32 B -26 sur
162,Calle 22 bis sur # 9C-17 
163,Portal 20 de Julio
164,Transversal 6 C este # 32 B 26 sur
165,COLEGIO LA VICTORIA SEDE A 
166,Calle 9 a # 19 este
167,Carrera 30 # 6c 62 este
168,Portal del 20 de Julio
169,Carrera 7A #34 A Sur -39
170,Casa de la lluvia 
171,CARERA 19A ESTE 9A SUR
172,Calle 2 Sur #2-90
173,Parque Montebello
174,Cra 4 Este Cll 48sur
175,CARRERA 5 #19-20
176,CRA 4#0 SUR 45
177,CARRERA 4 #0SUR 45
178,Carrera 22 B este calle 9 a sur 
179,AVENIDA 1 DE MAYO CON CARRERA 10
180,CRA 5 #19-20-19
181,CALLE 38 SUR
182,Carrera 11 este 64 SUR
183,CARRERA 8A #7-12
184,Carrera 15 ESTE 70-28 SUR
185,Diagonal 48 sur #13-16
186,Alcaldía local san cristobal 
187,Calle 70 Sur # 13 B-27 Este
188,Carrera 8 a este # 30 - 41
189,cra 12 Este # 33 A - 80 Sur
