ID_Actividad;Tipo_Estrategia;Linea_Estrategica;ID_Estrategia
H1_1;Seguridad;Seguridad Inteligente;1
H1_2;Seguridad;Distritos Seguros;1
H1_2;Seguridad;Datos Para La Seguridad;1
H1_2;Seguridad;Transporte Seguro;1
H1_2;Seguridad;Ciudadanías Seguras;1
H1_2;Seguridad;Bienestar Y Reconocimiento;1
H1_4;Seguridad;Distritos Seguros;1
H1_4;Seguridad;Ciudadanías Seguras;1
H1_5;Seguridad;Control Urbano;1
H1_5;Seguridad;Datos Para La Seguridad;1
H1_5;Seguridad;Cooperación Ciudadana;1
H1_5;Seguridad;Ciudadanías Seguras;1
H1_6;Seguridad;Distritos Seguros;1
H1_6;Seguridad;Control Urbano;1
H1_6;Seguridad;Cooperación Ciudadana;1
H1_6;Seguridad;Lucha Contra El Cibercrimen;1
H1_6;Seguridad;Ciudadanías Seguras;1
H1_7;Seguridad;Distritos Seguros;1
H1_7;Seguridad;Control Urbano;1
H1_7;Seguridad;Ciudadanías Seguras;1
H1_8;Seguridad;Distritos Seguros;1
H1_8;Seguridad;Control Urbano;1
H1_8;Seguridad;Ciudadanías Seguras;1
H1_9;Seguridad;Distritos Seguros;1
H1_9;Seguridad;Control Urbano;1
H1_9;Seguridad;Datos Para La Seguridad;1
H1_9;Seguridad;Ciudadanías Seguras;1
H1_9;Seguridad;Bienestar Y Reconocimiento;1
H1_9;Seguridad;Urbanismo Para La Seguridad;1
H1_10;Seguridad;Distritos Seguros;1
H1_10;Seguridad;Seguridad Inteligente;1
H1_12;Seguridad;Distritos Seguros;1
H1_12;Seguridad;Ciudadanías Seguras;1
H1_13;Seguridad;Distritos Seguros;1
H1_13;Seguridad;Datos Para La Seguridad;1
H1_13;Seguridad;Cooperación Ciudadana;1
H1_16;Seguridad;Distritos Seguros;1
H1_16;Seguridad;Control Urbano;1
H1_16;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_16;Seguridad;Ciudadanías Seguras;1
H1_17;Seguridad;Control Urbano;1
H1_17;Seguridad;Seguridad Inteligente;1
H1_17;Seguridad;Ciudadanías Seguras;1
H1_17;Seguridad;Urbanismo Para La Seguridad;1
H1_19;Seguridad;Distritos Seguros;1
H1_19;Seguridad;Ciudadanías Seguras;1
H1_21;Seguridad;Distritos Seguros;1
H1_21;Seguridad;Control Urbano;1
H1_21;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_21;Seguridad;Ciudadanías Seguras;1
H1_22;Seguridad;Distritos Seguros;1
H1_22;Seguridad;Control Urbano;1
H1_22;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_22;Seguridad;Ciudadanías Seguras;1
H1_24;Seguridad;Ciudadanías Seguras;1
H1_24;Seguridad;Bienestar Y Reconocimiento;1
H1_27;Seguridad;Distritos Seguros;1
H1_27;Seguridad;Control Urbano;1
H1_27;Seguridad;Ciudadanías Seguras;1
H1_28;Seguridad;Distritos Seguros;1
H1_28;Seguridad;Seguridad Inteligente;1
H1_28;Seguridad;Ciudadanías Seguras;1
H1_29;Seguridad;Seguridad Inteligente;1
H1_29;Seguridad;Cooperación Ciudadana;1
H1_29;Seguridad;Ciudadanías Seguras;1
H1_30;Seguridad;Distritos Seguros;1
H1_30;Seguridad;Control Urbano;1
H1_30;Seguridad;Seguridad Inteligente;1
H1_31;Seguridad;Control Urbano;1
H1_31;Seguridad;Cooperación Ciudadana;1
H1_32;Seguridad;Ciudadanías Seguras;1
H1_33;Seguridad;Cooperación Ciudadana;1
H1_33;Seguridad;Ciudadanías Seguras;1
H1_34;Seguridad;Distritos Seguros;1
H1_34;Seguridad;Control Urbano;1
H1_34;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_34;Seguridad;Ciudadanías Seguras;1
H1_35;Seguridad;Distritos Seguros;1
H1_35;Seguridad;Control Urbano;1
H1_35;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_35;Seguridad;Ciudadanías Seguras;1
H1_36;Seguridad;Datos Para La Seguridad;1
H1_36;Seguridad;Cooperación Ciudadana;1
H1_36;Seguridad;Lucha Contra El Cibercrimen;1
H1_36;Seguridad;Ciudadanías Seguras;1
H1_37;Seguridad;Distritos Seguros;1
H1_37;Seguridad;Control Urbano;1
H1_37;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_37;Seguridad;Ciudadanías Seguras;1
H1_38;Seguridad;Distritos Seguros;1
H1_38;Seguridad;Control Urbano;1
H1_38;Seguridad;Gestión De La Seguridad En Aglomeraciones;1
H1_38;Seguridad;Ciudadanías Seguras;1
H1_39;Seguridad;Distritos Seguros;1
H1_39;Seguridad;Control Urbano;1
H1_39;Seguridad;Ciudadanías Seguras;1
H1_40;Seguridad;Distritos Seguros;1
H1_40;Seguridad;Control Urbano;1
H1_40;Seguridad;Ciudadanías Seguras;1
H1_41;Seguridad;Distritos Seguros;1
H1_41;Seguridad;Control Urbano;1
H1_41;Seguridad;Cooperación Ciudadana;1
H1_41;Seguridad;Lucha Contra El Cibercrimen;1
H1_41;Seguridad;Ciudadanías Seguras;1
H1_42;Seguridad;Distritos Seguros;1
H1_42;Seguridad;Ciudadanías Seguras;1
